n,f_phi (dissipation),mass fraction,momentum-defect fraction,area fraction,y_c / delta
5.0,0.25,0.0866979870375135,0.27912228735981265,0.1259706016308157,0.1726888491846769
5.0,0.5,0.21686051919080773,0.5309874628242012,0.27247683445775567,0.3465254958188955
5.0,0.75,0.4157469286013715,0.770647041224063,0.4727630816806919,0.5535755267730198
5.0,1.0,1.0,1.0,1.0,1.0
7.0,0.25,0.0799068004503926,0.2733570257209266,0.10635840438059009,0.15415179362069945
7.0,0.5,0.20557816285142386,0.5246994546552943,0.24470904558715353,0.32513738314055113
7.0,0.75,0.40282422608220037,0.766405009470808,0.4442160098054191,0.5353930000120533
7.0,1.0,1.0,1.0,1.0,1.0
9.0,0.25,0.0755619201619066,0.2694287776933284,0.09520836600319382,0.14481891174129083
9.0,0.5,0.1982912032397962,0.5204621621102651,0.22818302055731887,0.3145519563869424
9.0,0.75,0.39442883824360925,0.7635621912956152,0.42668576975957245,0.5265487427142805
9.0,1.0,1.0,1.0,1.0,1.0
